Original,SpeltSentence,SpeltSentenceScore,SingleWordReplaced,SingleWordReplacedScore,GPT,GPTScore
that art exhibit was mind blowing each piece made you think and feel something different,t%at art e%%i%it %as %in% %lo%in% ea%% %ie%e %a%e %o% t%in% an% %eel so%et%in% %i%%erent,0.06666666666666667,that art exhibit %as %in% %lo%in% each %ie%e %a%e %o% t%in% an% %eel something different,0.4,that art exhibit was find flowing each piece gave you think and feel something different,0.8
her homemade cookies are the bomb like a little piece of heaven in every bite,%er %o%e%a%e %oo%ies are t%e %o%% li%e a little %ie%e o% %ea%en in e%er% %ite,0.26666666666666666,%er homemade cookies are the %o%% li%e a little %ie%e o% %ea%en in e%er% %ite,0.4666666666666667,her homemade cookies are the bomb like a little piece of heaven in every bite,1.0
that road trip was epic from the playlists to the pit stops it was a journey to remember,t%at roa% tri% %as e%i% %ro% t%e %la%lists to t%e %it sto%s it %as a %o%rne% to re%e%%er,0.2222222222222222,that roa% tri% %as e%i% %ro% the %la%lists to the %it stops it %as a %o%rne% to remember,0.5,that road trip was epic from the playlists to the pit stops it was a journey to remember,1.0
the sunset last night was unreal the sky was all kinds of crazy colors like a painting,t%e s%nset last ni%%t %as %nreal t%e s%% %as all %in%s o% %ra%% %olors li%e a %aintin%,0.17647058823529413,the sunset last ni%%t %as unreal the s%% %as all %in%s o% %ra%% colors li%e a %aintin%,0.47058823529411764,the sunset last night was unreal the sky was all kinds of crazy colors like a painting,1.0
his stand up routine was hilarious i was laughing so hard i almost cried no joke,%is stan% %% ro%tine %as %ilario%s i %as la%%%in% so %ar% i al%ost %rie% no %o%e,0.25,%is stan% %% routine %as hilarious i %as laughing so %ar% i almost %rie% no %o%e,0.5,his stand up routine was hilarious i was laughing so hard i almost cried no joke,1.0
that thrift store is a goldmine you can find some real gems if you dig around a bit,t%at t%ri%t store is a %ol%%ine %o% %an %in% so%e real %e%s i% %o% %i% aro%n% a %it,0.2777777777777778,that thrift store is a %ol%%ine %o% %an %in% some real %e%s i% %o% %i% around a %it,0.5,that thrift store is a goldmine you can find some real gems if you fix around a bit,0.9444444444444444
the sun dipped below the horizon casting a golden glow that illuminated the tranquil sea and the distant shoreline,t%e s%n %i%%e% %elo% t%e %ori%on %astin% a %ol%en %lo% t%at ill%%inate% t%e tran%%il sea an% t%e %istant s%oreline,0.10526315789473684,the s%n %i%%e% below the horizon %astin% a %ol%en %lo% that illuminated the tranquil sea an% the distant s%oreline,0.631578947368421,the sun dipped below the horizon casting a golden glow that illuminated the tranquil sea and the distant shoreline,1.0
she opened the mysterious book with anticipation eager to unlock the secrets hidden within its ancient weathered pages,s%e o%ene% t%e %%sterio%s %oo% %it% anti%i%ation ea%er to %nlo%% t%e se%rets %i%%en %it%in its an%ient %eat%ere% %a%es,0.1111111111111111,s%e opened the mysterious %oo% %it% anticipation eager to unlock the secrets %i%%en %it%in its ancient %eat%ere% %a%es,0.6111111111111112,she opened the mysterious book with anticipation eager to unlock the secrets hidden within its ancient feathered pages,0.9444444444444444
the software update failed unexpectedly leaving users around the world frustrated and searching for a quick and effective fix,t%e so%t%are %%%ate %aile% %ne%%e%te%l% lea%in% %sers aro%n% t%e %orl% %r%strate% an% sear%%in% %or a %%i%% an% e%%e%ti%e %i%,0.05263157894736842,the software %%%ate %aile% unexpectedly lea%in% users around the world frustrated an% searching %or a %%i%% an% effective %i%,0.5789473684210527,the software update failed unexpectedly leaving users around the world frustrated and searching for a quick and effective fix,1.0
the dog wagged its tail excitedly sensing that an adventure filled with new scents and sights was about to begin,t%e %o% %a%%e% its tail e%%ite%l% sensin% t%at an a%%ent%re %ille% %it% ne% s%ents an% si%%ts %as a%o%t to %e%in,0.2,the %o% %a%%e% its tail excitedly sensin% that an adventure %ille% %it% ne% scents an% sights %as a%o%t to %e%in,0.5,the dog wagged its tail excitedly sensing that an adventure filled with new scents and sights was about to begin,1.0
the chef skillfully combined exotic spices and fresh ingredients creating a dish that delighted every palate in the room,t%e %%e% s%ill%%ll% %o%%ine% e%oti% s%i%es an% %res% in%re%ients %reatin% a %is% t%at %eli%%te% e%er% %alate in t%e roo%,0.10526315789473684,the %%e% skillfully combined exotic s%i%es an% fresh ingredients creating a %is% that delighted e%er% palate in the roo%,0.6842105263157895,the chef skillfully combined exotic spices and fresh ingredients creating a dish that delighted every palate in the room,1.0
the artist stared intently at the blank canvas contemplating the masterpiece he would create with each stroke of the brush,t%e artist stare% intentl% at t%e %lan% %an%as %onte%%latin% t%e %aster%ie%e %e %o%l% %reate %it% ea%% stro%e o% t%e %r%s%,0.1,the artist stared intently at the %lan% canvas contemplating the masterpiece %e %o%l% %reate %it% each stro%e o% the %r%s%,0.6,the artist stared intently at the blank canvas contemplating the masterpiece he could create with each stroke of the brush,0.95
the scientist meticulously recorded data and observations hoping to make a groundbreaking discovery that would change the field forever,t%e s%ientist %eti%%lo%sl% re%or%e% %ata an% o%ser%ations %o%in% to %a%e a %ro%n%%rea%in% %is%o%er% t%at %o%l% %%an%e t%e %iel% %ore%er,0.10526315789473684,the scientist %eti%%lo%sl% re%or%e% %ata an% observations %o%in% to %a%e a %ro%n%%rea%in% discovery that %o%l% %%an%e the %iel% forever,0.47368421052631576,the scientist meticulously recorded data and observations hoping to make a groundbreaking discovery that could change the field forever,0.9473684210526315
the teachers words inspired the students igniting a newfound passion for lifelong learning and intellectual curiosity,t%e tea%%ers %or%s ins%ire% t%e st%%ents i%nitin% a ne%%o%n% %assion %or li%elon% learnin% an% intelle%t%al %%riosit%,0.0625,the teachers %or%s inspired the students i%nitin% a ne%%o%n% passion %or li%elon% learning an% intellectual curiosity,0.625,the teachers words inspired the students igniting a ne%%o%n% passion for lifelong learning and intellectual curiosity,0.9375
the athlete sprinted towards the finish line fueled by sheer determination willpower and years of rigorous training,t%e at%lete s%rinte% to%ar%s t%e %inis% line %%ele% %% s%eer %eter%ination %ill%o%er an% %ears o% ri%oro%s trainin%,0.058823529411764705,the athlete s%rinte% towards the finish line %%ele% %% sheer determination %ill%o%er an% %ears o% rigorous training,0.5882352941176471,the athlete sprinted towards the finish line %%ele% by sheer determination willpower and years of rigorous training,0.9411764705882353
the musician strummed the guitar with finesse evoking emotions that words alone could not express or capture,t%e %%si%ian str%%%e% t%e %%itar %it% %inesse e%o%in% e%otions t%at %or%s alone %o%l% not e%%ress or %a%t%re,0.17647058823529413,the musician str%%%e% the guitar %it% finesse evoking emotions that %or%s alone %o%l% not e%%ress or capture,0.7058823529411765,the musician strummed the guitar with finesse evoking emotions that words alone could not express or capture,1.0
the entrepreneur confidently pitched her innovative idea capturing the attention and imagination of potential investors in the room,t%e entre%rene%r %on%i%entl% %it%%e% %er inno%ati%e i%ea %a%t%rin% t%e attention an% i%a%ination o% %otential in%estors in t%e roo%,0.1111111111111111,the entre%rene%r confidently %it%%e% %er inno%ati%e idea capturing the attention an% imagination o% potential investors in the roo%,0.6111111111111112,the entrepreneur confidently pitched her innovative idea capturing the attention and imagination of potential investors in the room,1.0
the detective examined the clues carefully piecing together a complex puzzle that would ultimately solve the perplexing case,t%e %ete%ti%e e%a%ine% t%e %l%es %are%%ll% %ie%in% to%et%er a %o%%le% %%%%le t%at %o%l% %lti%atel% sol%e t%e %er%le%in% %ase,0.05555555555555555,the detective examined the %l%es carefully %ie%in% together a %o%%le% %%%%le that %o%l% ultimately sol%e the perplexing %ase,0.6111111111111112,the detective examined the clues carefully piecing together a complex puzzle that could ultimately solve the perplexing case,0.9444444444444444
the architect envisioned a sustainable eco friendly building that would stand the test of time and inspire future designs,t%e ar%%ite%t en%isione% a s%staina%le e%o %rien%l% %%il%in% t%at %o%l% stan% t%e test o% ti%e an% ins%ire %%t%re %esi%ns,0.10526315789473684,the architect en%isione% a s%staina%le e%o friendly building that %o%l% stan% the test o% ti%e an% inspire future designs,0.5789473684210527,the architect envisioned a sustainable ego friendly building that could stand the test of time and inspire future designs,0.8947368421052632
the journalist tirelessly investigated the story committed to uncovering the truth regardless of the personal risks involved,t%e %o%rnalist tirelessl% in%esti%ate% t%e stor% %o%%itte% to %n%o%erin% t%e tr%t% re%ar%less o% t%e %ersonal ris%s in%ol%e%,0.058823529411764705,the journalist tirelessl% investigated the stor% committed to uncovering the truth regardless o% the personal risks involved,0.8235294117647058,the journalist tirelessly investigated the story committed to uncovering the truth regardless of the personal risks involved,1.0
the photographer adjusted the lens capturing a moment that perfectly embodied the essence of the event,t%e %%oto%ra%%er a%%%ste% t%e lens %a%t%rin% a %o%ent t%at %er%e%tl% e%%o%ie% t%e essen%e o% t%e e%ent,0.125,the photographer adjusted the lens capturing a %o%ent that perfectly e%%o%ie% the essence o% the event,0.8125,the photographer adjusted the lens capturing a moment that perfectly e%%o%ie% the essence of the event,0.9375
the programmer debugged the code meticulously resolving issues that had plagued the software for weeks on end,t%e %ro%ra%%er %e%%%%e% t%e %o%e %eti%%lo%sl% resol%in% iss%es t%at %a% %la%%e% t%e so%t%are %or %ee%s on en%,0.058823529411764705,the %ro%ra%%er %e%%%%e% the %o%e %eti%%lo%sl% resolving issues that %a% %la%%e% the software %or %ee%s on en%,0.47058823529411764,the programmer %e%%%%e% the come %eti%%lo%sl% resolving issues that had plagued the software for weeks on end,0.8235294117647058
the gardener tended to the plants with care ensuring that each one received the nutrients and sunlight it needed,t%e %ar%ener ten%e% to t%e %lants %it% %are ens%rin% t%at ea%% one re%ei%e% t%e n%trients an% s%nli%%t it nee%e%,0.15789473684210525,the gardener tended to the plants %it% %are ensuring that each one re%ei%e% the n%trients an% sunlight it needed,0.7368421052631579,the gardener tended to the plants with care ensuring that each one received the nutrients and sunlight it needed,1.0
the pilot navigated through turbulent skies relying on years of experience and training to ensure a safe landing,t%e %ilot na%i%ate% t%ro%%% t%r%%lent s%ies rel%in% on %ears o% e%%erien%e an% trainin% to ens%re a sa%e lan%in%,0.16666666666666666,the pilot navigated through turbulent s%ies relying on %ears o% experience an% training to ensure a sa%e landing,0.7222222222222222,the pilot navigated through turbulent skies relying on years of experience and training to ensure a safe landing,1.0
the poet chose each word carefully crafting verses that would resonate with readers for generations to come,t%e %oet %%ose ea%% %or% %are%%ll% %ra%tin% %erses t%at %o%l% resonate %it% rea%ers %or %enerations to %o%e,0.11764705882352941,the %oet %%ose each %or% carefully %ra%tin% verses that %o%l% resonate %it% rea%ers %or generations to %o%e,0.47058823529411764,the poet whose each word carefully crafting verses that could resonate with readers for generations to come,0.8823529411764706
the engineer analyzed the structural integrity of the bridge ensuring it would withstand natural disasters and heavy traffic,t%e en%ineer anal%%e% t%e str%%t%ral inte%rit% o% t%e %ri%%e ens%rin% it %o%l% %it%stan% nat%ral %isasters an% %ea%% tra%%i%,0.05555555555555555,the engineer analyzed the structural integrity o% the %ri%%e ensuring it %o%l% withstand natural disasters an% %ea%% traffic,0.7222222222222222,the engineer analyzed the structural integrity of the bridge ensuring it could withstand natural disasters and heavy traffic,0.9444444444444444
rain poured down heavily soaking the earth and giving life to the parched plants struggling in the summer heat,rain %o%re% %o%n %ea%il% soa%in% t%e eart% an% %i%in% li%e to t%e %ar%%e% %lants str%%%lin% in t%e s%%%er %eat,0.15789473684210525,rain %o%re% %o%n heavily soaking the earth an% %i%in% li%e to the %ar%%e% plants struggling in the s%%%er %eat,0.5789473684210527,rain poured down heavily soaking the earth and giving life to the parched plants struggling in the summer heat,1.0
a gentle breeze rustled the leaves creating a soothing melody that echoed through the otherwise silent forest,a %entle %ree%e r%stle% t%e lea%es %reatin% a soot%in% %elo%% t%at e%%oe% t%ro%%% t%e ot%er%ise silent %orest,0.17647058823529413,a gentle %ree%e rustled the leaves creating a soothing melody that echoed through the otherwise silent forest,0.9411764705882353,a gentle breeze rustled the leaves creating a soothing melody that echoed through the otherwise silent forest,1.0
waves crashed against the shore leaving intricate patterns and small treasures for early morning beachcombers to discover,%a%es %ras%e% a%ainst t%e s%ore lea%in% intri%ate %atterns an% s%all treas%res %or earl% %ornin% %ea%%%o%%ers to %is%o%er,0.058823529411764705,%a%es %ras%e% against the s%ore lea%in% intricate patterns an% s%all treasures %or early morning %ea%%%o%%ers to discover,0.5294117647058824,waves crashed against the shore leaving intricate patterns and small treasures for early morning beachcombers to discover,1.0
laughter filled the room breaking the ice and making everyone feel comfortable in the new environment,la%%%ter %ille% t%e roo% %rea%in% t%e i%e an% %a%in% e%er%one %eel %o%%orta%le in t%e ne% en%iron%ent,0.0625,laughter %ille% the roo% %rea%in% the i%e an% %a%in% everyone %eel comfortable in the ne% environment,0.5,laughter filled the room breaking the ice and making everyone feel comfortable in the new environment,1.0
coffee brewed in the kitchen filling the air with a comforting aroma that signaled the start of the day,%o%%ee %re%e% in t%e %it%%en %illin% t%e air %it% a %o%%ortin% aro%a t%at si%nale% t%e start o% t%e %a%,0.21052631578947367,coffee %re%e% in the %it%%en %illin% the air %it% a comforting aroma that signaled the start o% the %a%,0.6842105263157895,coffee brewed in the kitchen filling the air with a comforting aroma that signaled the start of the day,1.0
birds sang from the treetops their melodies announcing the arrival of a new day filled with possibilities,%ir%s san% %ro% t%e treeto%s t%eir %elo%ies anno%n%in% t%e arri%al o% a ne% %a% %ille% %it% %ossi%ilities,0.058823529411764705,%ir%s san% %ro% the treetops their melodies anno%n%in% the arrival o% a ne% %a% %ille% %it% possibilities,0.47058823529411764,birds sang from the treetops their melodies announcing the arrival of a new day filled with possibilities,1.0
a full moon illuminated the night sky casting ethereal shadows that danced and played on the ground below,a %%ll %oon ill%%inate% t%e ni%%t s%% %astin% et%ereal s%a%o%s t%at %an%e% an% %la%e% on t%e %ro%n% %elo%,0.1111111111111111,a %%ll %oon illuminated the ni%%t s%% %astin% ethereal shadows that %an%e% an% %la%e% on the ground below,0.5555555555555556,a full moon illuminated the night sky casting ethereal shadows that danced and played on the ground below,1.0
snowflakes drifted down from the skycovering the landscape in a blanket of pure untouched white,sno%%la%es %ri%te% %o%n %ro% t%e s%%%o%erin% t%e lan%s%a%e in a %lan%et o% %%re %nto%%%e% %%ite,0.13333333333333333,snowflakes drifted %o%n %ro% the s%%%o%erin% the landscape in a blanket o% %%re untouched %%ite,0.6,snowflakes drifted down from the s%%%o%erin% the landscape in a blanket of pure untouched white,0.9333333333333333
children played in the park their laughter and shouts a testament to the unbridled joy of youth,%%il%ren %la%e% in t%e %ar% t%eir la%%%ter an% s%o%ts a testa%ent to t%e %n%ri%le% %o% o% %o%t%,0.17647058823529413,children %la%e% in the %ar% their laughter an% s%o%ts a testament to the unbridled %o% o% %o%t%,0.5882352941176471,children played in the yard their laughter and shouts a testament to the unbridled joy of youth,0.9411764705882353
cars zoomed by on the highway each one a capsule of individual lives and stories yet to be told,%ars %oo%e% %% on t%e %i%%%a% ea%% one a %a%s%le o% in%i%i%%al li%es an% stories %et to %e tol%,0.2631578947368421,%ars %oo%e% %% on the %i%%%a% each one a capsule o% individual li%es an% stories %et to %e tol%,0.47368421052631576,cars zoomed by on the highway each one a capsule of individual lives and stories yet to be told,1.0
music blared from the speakers setting the tone for an evening of fun dance and connection,%%si% %lare% %ro% t%e s%ea%ers settin% t%e tone %or an e%enin% o% %%n %an%e an% %onne%tion,0.125,%%si% %lare% %ro% the speakers setting the tone %or an evening o% %%n %an%e an% connection,0.5,music blared from the speakers setting the tone for an evening of fun dance and connection,1.0
flowers bloomed in the garden their vibrant colors and intoxicating scents a feast for the senses,%lo%ers %loo%e% in t%e %ar%en t%eir %i%rant %olors an% into%i%atin% s%ents a %east %or t%e senses,0.1875,%lo%ers %loo%e% in the %ar%en their %i%rant colors an% intoxicating scents a %east %or the senses,0.5625,flowers bloomed in the garden their vibrant colors and intoxicating scents a feast for the senses,1.0
candles flickered on the table creating a warm and intimate atmosphere for the romantic dinner ahead,%an%les %li%%ere% on t%e ta%le %reatin% a %ar% an% inti%ate at%os%%ere %or t%e ro%anti% %inner a%ea%,0.125,%an%les %li%%ere% on the table creating a %ar% an% intimate atmosphere %or the romantic %inner ahead,0.625,candles flickered on the table creating a warm and intimate atmosphere for the romantic dinner ahead,1.0
sunlight streamed through the windows casting a golden glow that made the room feel cozy and inviting,s%nli%%t strea%e% t%ro%%% t%e %in%o%s %astin% a %ol%en %lo% t%at %a%e t%e roo% %eel %o%% an% in%itin%,0.058823529411764705,sunlight strea%e% through the windows %astin% a %ol%en %lo% that %a%e the roo% %eel %o%% an% in%itin%,0.4117647058823529,sunlight streamed through the windows casting a golden glow that made the room feel cozy and inviting,1.0
books lined the shelves each one a gateway to different worlds times and perspectives,%oo%s line% t%e s%el%es ea%% one a %ate%a% to %i%%erent %orl%s ti%es an% %ers%e%ti%es,0.21428571428571427,%oo%s lined the shelves each one a gateway to different worlds ti%es an% perspectives,0.7857142857142857,books lined the shelves each one a gateway to different worlds times and perspectives,1.0
stars twinkled in the night sky their distant light a reminder of the vastness of the universe,stars t%in%le% in t%e ni%%t s%% t%eir %istant li%%t a re%in%er o% t%e %astness o% t%e %ni%erse,0.17647058823529413,stars twinkled in the ni%%t s%% their distant li%%t a reminder o% the %astness o% the universe,0.6470588235294118,stars twinkled in the night sky their distant light a reminder of the vastness of the universe,1.0
a campfire crackled in the darkness its warmth and light a focal point for stories and songs,a %a%%%ire %ra%%le% in t%e %ar%ness its %ar%t% an% li%%t a %o%al %oint %or stories an% son%s,0.29411764705882354,a campfire %ra%%le% in the %ar%ness its warmth an% li%%t a %o%al %oint %or stories an% songs,0.5294117647058824,a campfire crackled in the darkness its warmth and light a focal point for stories and songs,1.0
an owl hooted from a nearby tree its call adding another layer to the nocturnal symphony,an o%l %oote% %ro% a near%% tree its %all a%%in% anot%er la%er to t%e no%t%rnal s%%%%on%,0.3125,an o%l %oote% %ro% a nearby tree its %all a%%in% another la%er to the nocturnal symphony,0.625,an owl hooted from a nearby tree its call adding another layer to the nocturnal symphony,1.0
a bell rang in the distance signaling the end of the days work and the beginning of the evening,a %ell ran% in t%e %istan%e si%nalin% t%e en% o% t%e %a%s %or% an% t%e %e%innin% o% t%e e%enin%,0.10526315789473684,a %ell ran% in the distance signaling the en% o% the %a%s %or% an% the beginning o% the evening,0.5789473684210527,a bell rang in the distance signaling the end of the days work and the beginning of the evening,1.0
a river flowed through the valley its winding path a lifeline for the plants and animals that called it home,a ri%er %lo%e% t%ro%%% t%e %alle% its %in%in% %at% a li%eline %or t%e %lants an% ani%als t%at %alle% it %o%e,0.2,a ri%er %lo%e% through the %alle% its %in%in% %at% a li%eline %or the plants an% animals that %alle% it %o%e,0.5,a river flowed through the valley its winding path a lifeline for the plants and animals that called it home,1.0
purple elephants danced gracefully as the moon sang perplexing the bewildered cacti wearing top hats in the desert,%%r%le ele%%ants %an%e% %ra%e%%ll% as t%e %oon san% %er%le%in% t%e %e%il%ere% %a%ti %earin% to% %ats in t%e %esert,0.1111111111111111,%%r%le elephants %an%e% gracefully as the %oon san% perplexing the bewildered hayti %earin% to% %ats in the desert,0.5555555555555556,purple elephants danced gracefully as the moon sang perplexing the bewildered hayti bearing toy bats in the desert,0.7777777777777778
time traveling robots served spaghetti on mars while philosophical fish debated existentialism in a parallel universes ocean,ti%e tra%elin% ro%ots ser%e% s%a%%etti on %ars %%ile %%iloso%%i%al %is% %e%ate% e%istentialis% in a %arallel %ni%erses o%ean,0.17647058823529413,ti%e traveling ro%ots ser%e% s%a%%etti on %ars %%ile philosophical %is% debated e%istentialis% in a parallel %ni%erses ocean,0.47058823529411764,time traveling robots served spaghetti on mars while philosophical fish debated existentialism in a parallel universes ocean,1.0
